month,dow,hour,exit,승차인원,하차인원
1,FRI,5,1,8.6935166994106,1.7829076620825126
1,FRI,5,10,9.707760314341837,1.9909135559921396
1,FRI,5,11,7.389489194499005,1.515471512770135
1,FRI,5,12,33.32514734774066,6.834479371316306
1,FRI,5,13,22.313359528487236,4.576129666011788
1,FRI,5,14,25.356090373280946,5.200147347740669
1,FRI,5,15,20.284872298624755,4.160117878192535
1,FRI,5,2,8.258840864440073,1.693762278978388
1,FRI,5,3,0.8693516699410524,0.1782907662082497
1,FRI,5,4,0.0,0.0
1,FRI,5,5,0.0,0.0
1,FRI,5,6,0.0,0.0
1,FRI,5,7,2.0284872298624754,0.4160117878192534
1,FRI,5,8,0.0,0.0
1,FRI,5,9,0.0,0.0
1,FRI,5,9-1,9.27308447937131,1.9017681728880145
1,FRI,6,1,8.499044342507629,19.449541284403637
1,FRI,6,10,17.559346330275222,40.1834862385321
1,FRI,6,11,12.187308868501528,27.889908256880734
1,FRI,6,12,49.992020259938826,114.40366972477062
1,FRI,6,13,14.512519113149832,33.21100917431189
1,FRI,6,14,37.00291475535168,84.67889908256879
1,FRI,6,15,19.60392775229356,44.86238532110088
1,FRI,6,2,5.211678134556566,11.926605504587137
1,FRI,6,3,10.503535932721697,24.036697247706385
1,FRI,6,4,4.650420489296621,10.642201834862352
1,FRI,6,5,0.2405389908256696,0.5504587155962881
1,FRI,6,6,0.3207186544342331,0.7339449541284
1,FRI,6,7,8.298595183486231,18.99082568807338
1,FRI,6,8,2.164850917431173,4.954128440366928
1,FRI,6,9,2.0846712538226093,4.770642201834816
1,FRI,6,9-1,16.917909021406714,38.7155963302752
1,FRI,7,1,9.644705457173831,30.32508131550415
1,FRI,7,10,55.68709794000723,175.09251897361764
1,FRI,7,11,32.06949765088542,100.8335742681604
1,FRI,7,12,118.7014456089628,373.2235272858692
1,FRI,7,13,22.186230574629526,69.75840260209603
1,FRI,7,14,61.174015178894095,192.3445970365016
1,FRI,7,15,29.44531984098297,92.58258041199842
1,FRI,7,2,10.5307914709071,33.11113118901331
1,FRI,7,3,29.206758221900955,91.83249006143832
1,FRI,7,4,21.197903867003976,66.6508854354897
1,FRI,7,5,1.9425731839537064,6.10787856884702
1,FRI,7,6,1.5336104083845177,4.8220093964582125
1,FRI,7,7,23.82208167690638,74.90187929165154
1,FRI,7,8,8.724539212143075,27.43187567762908
1,FRI,7,9,6.407083483917576,20.14528370075887
1,FRI,7,9-1,39.22634622334658,123.33628478496568
1,FRI,8,1,10.127597325053731,59.557469548602775
1,FRI,8,10,84.90243611177449,499.2866610938617
1,FRI,8,11,38.86950680678285,228.5803230236444
1,FRI,8,12,132.7526868879866,780.6801409123475
1,FRI,8,13,17.220444232147113,101.26844996417478
1,FRI,8,14,54.53728803439215,320.71801110580355
1,FRI,8,15,20.83744327680916,122.53897480296146
1,FRI,8,2,11.133299498447528,65.47171304036274
1,FRI,8,3,57.554394554573655,338.46074158108416
1,FRI,8,4,41.65724265583948,244.97419094817275
1,FRI,8,5,2.523077382373999,14.837488058275522
1,FRI,8,6,4.622701218055839,27.18476833054665
1,FRI,8,7,35.57009792213995,209.17745402436103
1,FRI,8,8,12.738894196321915,74.91375089562914
1,FRI,8,9,12.121357774062544,71.28219787437288
1,FRI,8,9-1,53.83153212323859,316.5676647957965
1,FRI,9,1,9.387621373682014,39.48472031929469
1,FRI,9,10,63.53210817894798,267.21865133734434
1,FRI,9,11,29.405343420503925,123.68007982367293
1,FRI,9,12,105.63835110502174,444.31923512241616
1,FRI,9,13,18.029755167689263,75.8338893191159
1,FRI,9,14,57.20926907726215,240.62453088699576
1,FRI,9,15,19.2446238160481,80.943676654554
1,FRI,9,2,11.927801274795948,50.16882111157432
1,FRI,9,3,31.282867695240355,131.577023887532
1,FRI,9,4,22.86161911002557,96.15690713051748
1,FRI,9,5,1.7670816703401262,7.432417942455396
1,FRI,9,6,3.396110085184953,14.284178233156563
1,FRI,9,7,23.110114969917174,97.20209090367536
1,FRI,9,8,8.17275272532313,34.374932983856404
1,FRI,9,9,8.752576398403509,36.81369512122468
1,FRI,9,9-1,49.78200393161374,209.38514922261268
1,FRI,10,1,10.733457453302371,26.46270296667065
1,FRI,10,10,35.2808265169088,86.98278598461725
1,FRI,10,11,21.515047002807925,53.044072762788346
1,FRI,10,12,87.6485471859358,216.0922964229032
1,FRI,10,13,29.74563545354654,73.33610059821747
1,FRI,10,14,69.7915394945672,172.06690269808325
1,FRI,10,15,24.643633256012684,60.75741667684041
1,FRI,10,2,14.4396288609449,35.600048834086095
1,FRI,10,3,21.370650714198486,52.68807227444751
1,FRI,10,4,8.808173605176384,21.716029788792504
1,FRI,10,5,1.4439628860944704,3.560004883408561
1,FRI,10,6,1.2514345012818795,3.085337565620766
1,FRI,10,7,13.525119033085057,33.34537907459397
1,FRI,10,8,5.438926870955926,13.4093517275058
1,FRI,10,9,2.8879257721889804,7.12000976681722
1,FRI,10,9-1,45.72549139299229,112.73348797460622
1,FRI,11,1,18.230855101585178,33.864199598124586
1,FRI,11,10,45.84058941728064,85.14986604152713
1,FRI,11,11,23.921411029247587,44.43452779638309
1,FRI,11,12,103.74726501451217,192.71274279973207
1,FRI,11,13,33.19490957803078,61.66024782317477
1,FRI,11,14,87.30788122348739,162.1762391158741
1,FRI,11,15,25.133288680509008,46.68561620897516
1,FRI,11,2,19.60080375083721,36.40890823844602
1,FRI,11,3,23.39450770261218,43.45579370395176
1,FRI,11,4,11.855324849296702,22.021517079705266
1,FRI,11,5,0.9484259879437192,1.761721366376389
1,FRI,11,6,0.8430453226166288,1.5659745478901046
1,FRI,11,7,16.175932127707078,30.04713663764233
1,FRI,11,8,4.42598794373742,8.22136637642327
1,FRI,11,9,6.375530252288426,11.842682518419233
1,FRI,11,9-1,51.00424201830765,94.7414601473543
1,FRI,12,1,20.918001885014103,43.6953817153628
1,FRI,12,10,46.21300659754945,96.53383600376996
1,FRI,12,11,30.33364750235624,63.36361922714414
1,FRI,12,12,125.71159283694624,262.59754948162106
1,FRI,12,13,33.28557964184729,69.529877474081
1,FRI,12,14,100.77285579641844,210.5032987747407
1,FRI,12,15,31.707822808671068,66.23411875589068
1,FRI,12,2,20.052780395852952,41.888030160226165
1,FRI,12,3,25.65127238454288,53.58265786993401
1,FRI,12,4,10.38265786993401,21.688218661639933
1,FRI,12,5,1.4250706880301358,2.976814326107395
1,FRI,12,6,1.5777568331762222,3.2957587181903305
1,FRI,12,7,14.199811498586214,29.661828463713423
1,FRI,12,8,5.49670122525915,11.48199811498578
1,FRI,12,9,5.24222431668234,10.950424128180888
1,FRI,12,9-1,67.02921771913289,140.01658812441093
1,FRI,13,1,19.638276643990885,43.13020408163255
1,FRI,13,10,51.16807256235823,112.37693877551013
1,FRI,13,11,25.90476190476189,56.892857142857125
1,FRI,13,12,127.05668934240362,279.04591836734687
1,FRI,13,13,35.5265306122449,78.02448979591837
1,FRI,13,14,115.6585941043084,254.0130612244898
1,FRI,13,15,29.6054421768707,65.0204081632652
1,FRI,13,2,20.822494331065755,45.73102040816326
