month,dow,hour,exit,승차인원,하차인원
1,FRI,5,1,14.999999999999982,15.736738703339864
1,FRI,5,10,16.749999999999982,17.57269155206285
1,FRI,5,11,12.74999999999998,13.376227897838875
1,FRI,5,12,57.49999999999999,60.32416502946954
1,FRI,5,13,38.5,40.3909626719057
1,FRI,5,14,43.75,45.89882121807466
1,FRI,5,15,35.0,36.719056974459725
1,FRI,5,2,14.24999999999999,14.949901768172875
1,FRI,5,3,1.4999999999999851,1.5736738703339728
1,FRI,5,4,0.0,0.0
1,FRI,5,5,0.0,0.0
1,FRI,5,6,0.0,0.0
1,FRI,5,7,3.5,3.6719056974459727
1,FRI,5,8,0.0,0.0
1,FRI,5,9,0.0,0.0
1,FRI,5,9-1,15.999999999999988,16.78585461689586
1,FRI,6,1,17.45393730886847,61.35722477064208
1,FRI,6,10,36.06049311926604,126.7663417431192
1,FRI,6,11,25.0282874617737,87.98394495412845
1,FRI,6,12,102.66537652905195,360.9078268348623
1,FRI,6,13,29.8034212538226,104.77035550458704
1,FRI,6,14,75.99049120795107,267.13546444954125
1,FRI,6,15,40.25931766055042,141.52680619266044
1,FRI,6,2,10.702886085626892,37.62471330275223
1,FRI,6,3,21.57043195718651,75.82826834862374
1,FRI,6,4,9.55026758409783,33.572821100917324
1,FRI,6,5,0.4939793577981272,1.736525229357665
1,FRI,6,6,0.6586391437308506,2.315366972476937
1,FRI,6,7,17.042287844036682,59.91012041284398
1,FRI,6,8,4.445814220183446,15.628727064220042
1,FRI,6,9,4.281154434250722,15.04988532110077
1,FRI,6,9-1,34.74321483180425,122.13560779816504
1,FRI,7,1,30.018250813155035,76.71273942898443
1,FRI,7,10,173.32092518973616,442.92797253342974
1,FRI,7,11,99.81333574268156,255.076635345139
1,FRI,7,12,369.44723527285873,944.1359414528372
1,FRI,7,13,69.05258402602085,176.4664076617272
1,FRI,7,14,190.39844597036495,486.5702023852547
1,FRI,7,15,91.64582580411984,234.20426454643984
1,FRI,7,2,32.77611131189007,83.7605529454281
1,FRI,7,3,90.90332490061432,232.30677629201284
1,FRI,7,4,65.9765088543549,168.60538489338634
1,FRI,7,5,6.0460787856883655,15.450975786049604
1,FRI,7,6,4.773220093964538,12.198138778460311
1,FRI,7,7,74.14401879291646,189.47775569208517
1,FRI,7,8,27.154318756776167,69.39385616190788
