month,dow,hour,exit,승차인원,하차인원
01,FRI,5,1,14.677651905252294,15.398558187435608
01,FRI,5,10,15.463954685890833,16.223480947476826
01,FRI,5,11,8.911431513903175,9.349124613800186
01,FRI,5,12,54.51699279093715,57.19464469618947
01,FRI,5,13,52.68228630278064,55.26982492276004
01,FRI,5,14,34.597322348094735,36.296601441812555
01,FRI,5,15,40.36354273944386,42.34603501544798
01,FRI,5,2,13.367147270854787,14.023686920700307
01,FRI,5,3,2.09680741503602,2.1997940267764924
01,FRI,5,4,0.0,0.0
01,FRI,5,5,0.0,0.0
01,FRI,5,6,0.0,0.0
01,FRI,5,7,2.09680741503602,2.1997940267764924
01,FRI,5,8,0.0,0.0
01,FRI,5,9,0.0,0.0
01,FRI,5,9-1,15.726055612770327,16.49845520082388
01,FRI,6,1,18.481023102310232,64.96782178217822
01,FRI,6,10,27.01072607260726,94.9529702970297
01,FRI,6,11,22.495000970685304,79.07847990681421
01,FRI,6,12,111.30426130848379,391.2767909143856
01,FRI,6,13,34.95505727043292,122.88031450203843
01,FRI,6,14,65.39438943894388,229.88613861386136
01,FRI,6,15,48.33498349834983,169.9158415841584
01,FRI,6,2,14.216171617161715,49.97524752475247
01,FRI,6,3,18.73189671908367,65.84973791496796
01,FRI,6,4,7.609833042127741,26.751456027955733
01,FRI,6,5,0.501747233546884,1.763832265579499
01,FRI,6,6,1.3379926227916907,4.703552708211997
01,FRI,6,7,16.39040962919821,57.61852067559697
01,FRI,6,8,4.181226946224034,14.698602213162491
01,FRI,6,9,4.0976024072995525,14.404630168899242
01,FRI,6,9-1,35.70767812075325,125.52606290040767
01,FRI,7,1,36.22914640532647,92.58491060073294
01,FRI,7,10,174.55861449839148,446.0909328944414
01,FRI,7,11,92.00007481110197,235.10956085883146
01,FRI,7,12,382.6017430986758,977.7527680107726
01,FRI,7,13,93.75663948529962,239.59852622129122
01,FRI,7,14,170.60634398144668,435.9907608289066
01,FRI,7,15,108.3580833395675,276.913050796738
01,FRI,7,2,32.935587641205814,84.16810054612068
01,FRI,7,3,68.72559287798306,175.63076980623916
01,FRI,7,4,56.75899603501155,145.04969327448183
01,FRI,7,5,7.465399865339907,19.078102790453823
01,FRI,7,6,4.83055285404353,12.344654746764393
01,FRI,7,7,69.05494875439513,176.47245081170038
01,FRI,7,8,31.94752001196977,81.64305752973739
01,FRI,7,9,18.553714371212678,47.414696640981504
01,FRI,7,9-1,119.11704196902821,304.4079636418045
01,FRI,8,1,43.709229334990496,156.3006836544431
01,FRI,8,10,348.16140459912987,1244.9971410814169
01,FRI,8,11,168.33346799254176,601.9469235550024
01,FRI,8,12,601.1153356121813,2149.540024860161
01,FRI,8,13,103.82832504661269,371.2817277812302
01,FRI,8,14,212.72329086389044,760.6813548788061
01,FRI,8,15,102.01340894965809,364.79173399627064
01,FRI,8,2,44.99479490366665,160.897762585456
01,FRI,8,3,159.33450901180848,569.7673710379114
01,FRI,8,4,147.6131758856432,527.8528278433807
01,FRI,8,5,11.721333126165312,41.91454319453074
01,FRI,8,6,15.804894344313235,56.517029210689856
01,FRI,8,7,145.11766625233062,518.9290863890615
01,FRI,8,8,68.66432566811676,245.53809819763796
01,FRI,8,9,49.45646364201354,176.85233064014866
01,FRI,8,9-1,210.90837476693585,754.1913610938466
01,FRI,9,1,41.78136905493412,128.7618286837897
01,FRI,9,10,256.14300417844413,789.381544180902
01,FRI,9,11,127.66529433452125,393.43892097824727
01,FRI,9,12,453.79209167998033,1398.496528204498
01,FRI,9,13,99.57892958092648,306.8823583630326
01,FRI,9,14,207.51413297284003,639.5170824628239
01,FRI,9,15,89.01752795870706,274.3342294457414
01,FRI,9,2,49.6734054319772,153.08350743517212
01,FRI,9,3,85.99998463807287,265.03476404080095
01,FRI,9,4,78.80430441194528,242.8591157674814
01,FRI,9,5,8.588392527958561,26.467709229445294
01,FRI,9,6,10.561401622219428,32.54812891729119
01,FRI,9,7,103.29282905247634,318.3278542460366
01,FRI,9,8,42.941962639793374,132.33854614722821
01,FRI,9,9,34.58568882880651,106.58618041047016
01,FRI,9,9-1,198.80968108639533,612.6917014870342
01,FRI,10,1,62.218758085381516,96.03686934023268
01,FRI,10,10,140.76442432082786,217.27490297542028
01,FRI,10,11,74.57425614488993,115.10802069857681
01,FRI,10,12,398.0235446313066,614.3635187580853
01,FRI,10,13,166.79922380336336,257.4605433376453
01,FRI,10,14,274.6891979301423,423.9925614489004
01,FRI,10,15,116.27406209573078,179.47315653298813
01,FRI,10,2,71.48538163001282,110.34023285899077
01,FRI,10,3,64.4250970245795,99.44243208279421
01,FRI,10,4,33.75698576972822,52.10510996118999
01,FRI,10,5,6.177749029754041,9.535575679171805
01,FRI,10,6,3.5301423027166683,5.448900388098288
01,FRI,10,7,55.820375161707524,86.16073738680448
01,FRI,10,8,25.15226390685624,38.82341526520027
01,FRI,10,9,13.899935316946891,21.45504527813702
