exit,hour,userCount_ratio
1,05,0.057672502574665295
1,06,0.0429042904290429
1,07,0.024687663649285554
1,08,0.01796146674953387
1,09,0.02212117488017697
1,10,0.03648124191461837
1,11,0.04461269656377403
1,12,0.04248398225726959
1,13,0.04409051179955327
1,14,0.04881450488145049
1,15,0.04904274849200105
1,16,0.047359092520382846
1,17,0.03642167294156163
1,18,0.037330247853358506
1,19,0.04487332221428004
1,20,0.05555555555555555
1,21,0.05297636001139277
1,22,0.06682404212820048
1,23,0.08074741408074741
10,05,0.0607621009268795
10,06,0.0627062706270627
10,07,0.11894965212837585
10,08,0.1430702299564947
10,09,0.13561509155708493
10,10,0.08253557567917205
10,11,0.08351776354105998
10,12,0.07235091177920158
10,13,0.08449062833835097
10,14,0.0744172145845786
10,15,0.07334557216539907
10,16,0.08429634881247784
10,17,0.0981748240301195
10,18,0.10102916996528835
10,19,0.0781510602811532
10,20,0.07086813464945584
10,21,0.07077755625178012
10,22,0.054657708371163974
10,23,0.041374708041374705
11,05,0.035015447991761074
11,06,0.05222286934575811
11,07,0.0626917034487918
11,08,0.06917339962709758
11,09,0.06759247880054074
11,10,0.04372574385510996
11,11,0.04170064065230052
11,12,0.04287826515524889
11,13,0.03894338156744683
11,14,0.041243275552898986
11,15,0.03627939505201504
11,16,0.04338886919532081
11,17,0.04939433622524145
11,18,0.04780464039948846
11,19,0.0435231514573902
11,20,0.03897747405720071
11,21,0.034747935061236114
11,22,0.03359360813510078
11,23,0.02135468802135469
12,05,0.21421215242018538
12,06,0.2583964278780819
12,07,0.26071669035684897
12,08,0.24701678060907395
12,09,0.2402605382819221
12,10,0.2333764553686934
12,11,0.2398369248689575
12,12,0.25677673730901923
12,13,0.2553170826454307
12,14,0.2333134090456266
12,15,0.22982778214878924
12,16,0.24140375753278978
12,17,0.23031592732034703
12,18,0.2350648559771025
12,19,0.26471289015963784
12,20,0.24702606934953175
12,21,0.24252349757903732
12,22,0.22407844561467224
12,23,0.20086753420086753
13,05,0.2070030895983522
13,06,0.08114929139972821
13,07,0.06388868108027232
13,08,0.04266625233064015
13,09,0.052722133464421776
13,10,0.09780077619663648
13,11,0.08841001747233547
13,12,0.08486939379004435
13,13,0.08759832961056618
13,14,0.0737198645148436
13,15,0.07518139697526008
13,16,0.07422899680964197
13,17,0.062326076280897036
13,18,0.05678704098410572
13,19,0.07902470018267016
13,20,0.08820551759048342
13,21,0.06978068926231842
13,22,0.07590339567822771
13,23,0.08508508508508508
14,05,0.13594232749742532
14,06,0.15181518151815182
14,07,0.11625645245754469
