platform,ratio,hour,dow,line,updnLine
1-3,5.666666666666667,16,WEEKDAY,1,0
1-4,6.666666666666667,16,WEEKDAY,1,0
1-5,7.0,16,WEEKDAY,1,0
1-6,8.666666666666666,16,WEEKDAY,1,0
1-7,11.0,16,WEEKDAY,1,0
1-8,11.166666666666666,16,WEEKDAY,1,0
1-9,17.5,16,WEEKDAY,1,0
1-10,23.166666666666668,16,WEEKDAY,1,0
1-1,4.333333333333333,17,WEEKDAY,1,0
1-2,4.0,17,WEEKDAY,1,0
1-3,4.833333333333333,17,WEEKDAY,1,0
1-4,6.166666666666667,17,WEEKDAY,1,0
1-5,6.833333333333333,17,WEEKDAY,1,0
1-6,7.166666666666667,17,WEEKDAY,1,0
1-7,11.666666666666666,17,WEEKDAY,1,0
1-8,12.833333333333334,17,WEEKDAY,1,0
1-9,16.666666666666668,17,WEEKDAY,1,0
1-10,26.0,17,WEEKDAY,1,0
1-1,3.8333333333333335,18,WEEKDAY,1,0
1-2,4.166666666666667,18,WEEKDAY,1,0
1-3,4.0,18,WEEKDAY,1,0
1-4,5.166666666666667,18,WEEKDAY,1,0
1-5,5.0,18,WEEKDAY,1,0
1-6,6.0,18,WEEKDAY,1,0
1-7,9.833333333333334,18,WEEKDAY,1,0
1-8,11.333333333333334,18,WEEKDAY,1,0
1-9,18.833333333333332,18,WEEKDAY,1,0
1-10,31.5,18,WEEKDAY,1,0
1-1,8.333333333333334,19,WEEKDAY,1,0
1-2,5.666666666666667,19,WEEKDAY,1,0
1-3,6.666666666666667,19,WEEKDAY,1,0
1-4,7.0,19,WEEKDAY,1,0
1-5,6.5,19,WEEKDAY,1,0
1-6,7.0,19,WEEKDAY,1,0
1-7,9.333333333333334,19,WEEKDAY,1,0
1-8,9.666666666666666,19,WEEKDAY,1,0
1-9,16.166666666666668,19,WEEKDAY,1,0
1-10,23.166666666666668,19,WEEKDAY,1,0
1-1,9.0,20,WEEKDAY,1,0
1-2,6.0,20,WEEKDAY,1,0
1-3,7.0,20,WEEKDAY,1,0
1-4,7.0,20,WEEKDAY,1,0
1-5,7.0,20,WEEKDAY,1,0
1-6,7.0,20,WEEKDAY,1,0
1-7,9.0,20,WEEKDAY,1,0
1-8,10.0,20,WEEKDAY,1,0
1-9,15.0,20,WEEKDAY,1,0
1-10,22.0,20,WEEKDAY,1,0
1-1,9.0,21,WEEKDAY,1,0
1-2,6.0,21,WEEKDAY,1,0
1-3,7.0,21,WEEKDAY,1,0
1-4,7.0,21,WEEKDAY,1,0
1-5,7.0,21,WEEKDAY,1,0
1-6,7.0,21,WEEKDAY,1,0
1-7,9.0,21,WEEKDAY,1,0
1-8,10.0,21,WEEKDAY,1,0
1-9,15.0,21,WEEKDAY,1,0
1-10,22.0,21,WEEKDAY,1,0
1-1,9.0,22,WEEKDAY,1,0
1-2,6.0,22,WEEKDAY,1,0
1-3,7.0,22,WEEKDAY,1,0
1-4,7.0,22,WEEKDAY,1,0
1-5,7.0,22,WEEKDAY,1,0
1-6,7.0,22,WEEKDAY,1,0
1-7,9.0,22,WEEKDAY,1,0
1-8,10.0,22,WEEKDAY,1,0
1-9,15.0,22,WEEKDAY,1,0
1-10,22.0,22,WEEKDAY,1,0
1-1,9.0,23,WEEKDAY,1,0
1-2,6.0,23,WEEKDAY,1,0
1-3,7.0,23,WEEKDAY,1,0
1-4,7.0,23,WEEKDAY,1,0
1-5,7.0,23,WEEKDAY,1,0
1-6,7.0,23,WEEKDAY,1,0
1-7,9.0,23,WEEKDAY,1,0
1-8,10.0,23,WEEKDAY,1,0
1-9,15.0,23,WEEKDAY,1,0
1-10,22.0,23,WEEKDAY,1,0
1-1,5.0,5,WEEKEND,1,0
1-2,6.0,5,WEEKEND,1,0
1-3,7.0,5,WEEKEND,1,0
1-4,8.0,5,WEEKEND,1,0
1-5,8.0,5,WEEKEND,1,0
1-6,10.0,5,WEEKEND,1,0
1-7,10.0,5,WEEKEND,1,0
1-8,10.0,5,WEEKEND,1,0
1-9,15.0,5,WEEKEND,1,0
1-10,22.0,5,WEEKEND,1,0
1-1,5.0,6,WEEKEND,1,0
1-2,6.0,6,WEEKEND,1,0
1-3,7.0,6,WEEKEND,1,0
1-4,8.0,6,WEEKEND,1,0
1-5,8.0,6,WEEKEND,1,0
1-6,10.0,6,WEEKEND,1,0
1-7,10.0,6,WEEKEND,1,0
1-8,10.0,6,WEEKEND,1,0
1-9,15.0,6,WEEKEND,1,0
1-10,22.0,6,WEEKEND,1,0
1-1,5.0,7,WEEKEND,1,0
1-2,6.0,7,WEEKEND,1,0
1-3,7.0,7,WEEKEND,1,0
1-4,8.0,7,WEEKEND,1,0
1-5,8.0,7,WEEKEND,1,0
1-6,10.0,7,WEEKEND,1,0
1-7,10.0,7,WEEKEND,1,0
1-8,10.0,7,WEEKEND,1,0
1-9,15.0,7,WEEKEND,1,0
1-10,22.0,7,WEEKEND,1,0
1-1,5.0,8,WEEKEND,1,0
1-2,6.0,8,WEEKEND,1,0
1-3,6.333333333333333,8,WEEKEND,1,0
1-4,8.0,8,WEEKEND,1,0
1-5,8.0,8,WEEKEND,1,0
1-6,10.0,8,WEEKEND,1,0
1-7,10.0,8,WEEKEND,1,0
1-8,10.0,8,WEEKEND,1,0
1-9,15.666666666666666,8,WEEKEND,1,0
1-10,22.0,8,WEEKEND,1,0
1-1,5.0,9,WEEKEND,1,0
1-2,6.0,9,WEEKEND,1,0
1-3,7.0,9,WEEKEND,1,0
1-4,8.0,9,WEEKEND,1,0
1-5,8.0,9,WEEKEND,1,0
1-6,9.5,9,WEEKEND,1,0
1-7,10.0,9,WEEKEND,1,0
1-8,10.0,9,WEEKEND,1,0
1-9,16.0,9,WEEKEND,1,0
1-10,22.0,9,WEEKEND,1,0
1-1,5.333333333333333,10,WEEKEND,1,0
1-2,5.833333333333333,10,WEEKEND,1,0
1-3,7.5,10,WEEKEND,1,0
1-4,8.166666666666666,10,WEEKEND,1,0
1-5,7.666666666666667,10,WEEKEND,1,0
1-6,9.833333333333334,10,WEEKEND,1,0
1-7,9.666666666666666,10,WEEKEND,1,0
1-8,10.0,10,WEEKEND,1,0
1-9,14.333333333333334,10,WEEKEND,1,0
1-10,22.5,10,WEEKEND,1,0
1-1,6.5,11,WEEKEND,1,0
1-2,6.5,11,WEEKEND,1,0
1-3,8.166666666666666,11,WEEKEND,1,0
1-4,8.0,11,WEEKEND,1,0
1-5,7.333333333333333,11,WEEKEND,1,0
1-6,11.0,11,WEEKEND,1,0
1-7,10.333333333333334,11,WEEKEND,1,0
1-8,10.166666666666666,11,WEEKEND,1,0
1-9,12.666666666666666,11,WEEKEND,1,0
1-10,19.5,11,WEEKEND,1,0
1-1,5.0,12,WEEKEND,1,0
1-2,8.833333333333334,12,WEEKEND,1,0
1-3,7.0,12,WEEKEND,1,0
1-4,7.5,12,WEEKEND,1,0
1-5,6.833333333333333,12,WEEKEND,1,0
1-6,11.0,12,WEEKEND,1,0
1-7,10.833333333333334,12,WEEKEND,1,0
1-8,9.666666666666666,12,WEEKEND,1,0
1-9,14.333333333333334,12,WEEKEND,1,0
1-10,18.666666666666668,12,WEEKEND,1,0
1-1,4.333333333333333,13,WEEKEND,1,0
1-2,5.833333333333333,13,WEEKEND,1,0
1-3,6.333333333333333,13,WEEKEND,1,0
1-4,8.833333333333334,13,WEEKEND,1,0
1-5,8.0,13,WEEKEND,1,0
1-6,9.833333333333334,13,WEEKEND,1,0
1-7,9.833333333333334,13,WEEKEND,1,0
1-8,8.833333333333334,13,WEEKEND,1,0
1-9,15.5,13,WEEKEND,1,0
1-10,23.666666666666668,13,WEEKEND,1,0
1-1,5.0,14,WEEKEND,1,0
1-2,6.0,14,WEEKEND,1,0
1-3,7.0,14,WEEKEND,1,0
1-4,8.0,14,WEEKEND,1,0
1-5,8.0,14,WEEKEND,1,0
1-6,10.0,14,WEEKEND,1,0
1-7,10.0,14,WEEKEND,1,0
1-8,10.0,14,WEEKEND,1,0
1-9,15.0,14,WEEKEND,1,0
1-10,22.0,14,WEEKEND,1,0
1-1,5.333333333333333,15,WEEKEND,1,0
1-2,5.5,15,WEEKEND,1,0
1-3,7.833333333333333,15,WEEKEND,1,0
1-4,7.166666666666667,15,WEEKEND,1,0
1-5,8.666666666666666,15,WEEKEND,1,0
1-6,10.333333333333334,15,WEEKEND,1,0
1-7,9.166666666666666,15,WEEKEND,1,0
1-8,9.833333333333334,15,WEEKEND,1,0
1-9,14.333333333333334,15,WEEKEND,1,0
1-10,22.0,15,WEEKEND,1,0
1-1,5.333333333333333,16,WEEKEND,1,0
1-2,6.0,16,WEEKEND,1,0
1-3,6.166666666666667,16,WEEKEND,1,0
1-4,7.833333333333333,16,WEEKEND,1,0
1-5,8.833333333333334,16,WEEKEND,1,0
1-6,9.833333333333334,16,WEEKEND,1,0
1-7,9.666666666666666,16,WEEKEND,1,0
1-8,10.166666666666666,16,WEEKEND,1,0
1-9,15.5,16,WEEKEND,1,0
1-10,20.333333333333332,16,WEEKEND,1,0
1-1,5.0,17,WEEKEND,1,0
1-2,6.0,17,WEEKEND,1,0
1-3,7.0,17,WEEKEND,1,0
1-4,8.0,17,WEEKEND,1,0
1-5,8.0,17,WEEKEND,1,0
1-6,10.0,17,WEEKEND,1,0
1-7,10.0,17,WEEKEND,1,0
1-8,10.0,17,WEEKEND,1,0
1-9,15.0,17,WEEKEND,1,0
1-10,22.0,17,WEEKEND,1,0
1-1,5.0,18,WEEKEND,1,0
1-2,6.0,18,WEEKEND,1,0
1-3,7.0,18,WEEKEND,1,0
1-4,8.0,18,WEEKEND,1,0
1-5,8.0,18,WEEKEND,1,0
1-6,10.0,18,WEEKEND,1,0
1-7,10.0,18,WEEKEND,1,0
1-8,10.0,18,WEEKEND,1,0
1-9,15.0,18,WEEKEND,1,0
1-10,22.0,18,WEEKEND,1,0
1-1,5.0,19,WEEKEND,1,0
1-2,6.0,19,WEEKEND,1,0
1-3,7.0,19,WEEKEND,1,0
1-4,8.0,19,WEEKEND,1,0
1-5,8.0,19,WEEKEND,1,0
1-6,10.0,19,WEEKEND,1,0
1-7,10.0,19,WEEKEND,1,0
1-8,10.0,19,WEEKEND,1,0
1-9,15.0,19,WEEKEND,1,0
1-10,22.0,19,WEEKEND,1,0
1-1,5.0,20,WEEKEND,1,0
1-2,6.0,20,WEEKEND,1,0
1-3,7.0,20,WEEKEND,1,0
1-4,8.0,20,WEEKEND,1,0
1-5,8.0,20,WEEKEND,1,0
1-6,10.0,20,WEEKEND,1,0
1-7,10.0,20,WEEKEND,1,0
1-8,10.0,20,WEEKEND,1,0
1-9,15.0,20,WEEKEND,1,0
1-10,22.0,20,WEEKEND,1,0
1-1,5.0,21,WEEKEND,1,0
1-2,6.0,21,WEEKEND,1,0
1-3,7.0,21,WEEKEND,1,0
1-4,8.0,21,WEEKEND,1,0
1-5,8.0,21,WEEKEND,1,0
1-6,10.0,21,WEEKEND,1,0
1-7,10.0,21,WEEKEND,1,0
1-8,10.0,21,WEEKEND,1,0
1-9,15.0,21,WEEKEND,1,0
1-10,22.0,21,WEEKEND,1,0
1-1,5.0,22,WEEKEND,1,0
1-2,6.0,22,WEEKEND,1,0
1-3,7.0,22,WEEKEND,1,0
1-4,8.0,22,WEEKEND,1,0
1-5,8.0,22,WEEKEND,1,0
1-6,10.0,22,WEEKEND,1,0
1-7,10.0,22,WEEKEND,1,0
1-8,10.0,22,WEEKEND,1,0
1-9,15.0,22,WEEKEND,1,0
1-10,22.0,22,WEEKEND,1,0
1-1,5.0,23,WEEKEND,1,0
1-2,6.0,23,WEEKEND,1,0
1-3,7.0,23,WEEKEND,1,0
1-4,8.0,23,WEEKEND,1,0
1-5,8.0,23,WEEKEND,1,0
1-6,10.0,23,WEEKEND,1,0
1-7,10.0,23,WEEKEND,1,0
1-8,10.0,23,WEEKEND,1,0
1-9,15.0,23,WEEKEND,1,0
1-10,22.0,23,WEEKEND,1,0
2-1,32.333333333333336,5,WEEKDAY,1,1
2-2,15.666666666666666,5,WEEKDAY,1,1
2-3,9.333333333333334,5,WEEKDAY,1,1
2-4,5.333333333333333,5,WEEKDAY,1,1
2-5,2.0,5,WEEKDAY,1,1
2-6,2.3333333333333335,5,WEEKDAY,1,1
2-7,4.333333333333333,5,WEEKDAY,1,1
2-8,4.333333333333333,5,WEEKDAY,1,1
2-9,8.333333333333334,5,WEEKDAY,1,1
2-10,16.333333333333332,5,WEEKDAY,1,1
2-1,22.833333333333332,6,WEEKDAY,1,1
2-2,18.333333333333332,6,WEEKDAY,1,1
2-3,11.666666666666666,6,WEEKDAY,1,1
2-4,8.333333333333334,6,WEEKDAY,1,1
2-5,3.6666666666666665,6,WEEKDAY,1,1
2-6,4.833333333333333,6,WEEKDAY,1,1
2-7,5.166666666666667,6,WEEKDAY,1,1
2-8,6.333333333333333,6,WEEKDAY,1,1
2-9,6.166666666666667,6,WEEKDAY,1,1
2-10,13.166666666666666,6,WEEKDAY,1,1
2-1,20.0,7,WEEKDAY,1,1
2-2,16.166666666666668,7,WEEKDAY,1,1
2-3,12.5,7,WEEKDAY,1,1
2-4,10.833333333333334,7,WEEKDAY,1,1
2-5,7.0,7,WEEKDAY,1,1
2-6,5.0,7,WEEKDAY,1,1
2-7,4.333333333333333,7,WEEKDAY,1,1
2-8,8.0,7,WEEKDAY,1,1
2-9,6.5,7,WEEKDAY,1,1
2-10,9.333333333333334,7,WEEKDAY,1,1
2-1,14.0,8,WEEKDAY,1,1
2-2,11.166666666666666,8,WEEKDAY,1,1
