exit,hour,userCount_ratio
1,05,0.05235602094240838
1,06,0.05686032138442522
1,07,0.0398959236773634
1,08,0.053536151718688266
1,09,0.044473044473044475
1,10,0.04980788387647645
1,11,0.05776961065809119
1,12,0.048525678578402655
1,13,0.04954777821470704
1,14,0.05763354757138341
1,15,0.056830822125594094
1,16,0.053439454235361
1,17,0.05169340463458111
1,18,0.049315775884327395
1,19,0.06098339719029374
1,20,0.06621046791196597
1,21,0.06294896030245746
1,22,0.07866350960273612
1,23,0.08826382153249272
10,05,0.01963350785340314
10,06,0.04480840543881335
10,07,0.06967331598727956
10,08,0.05768470960094824
10,09,0.07135707135707135
10,10,0.06389639960153692
10,11,0.06018146319053635
10,12,0.0632688927943761
10,13,0.06075501376327173
10,14,0.059635444104941523
10,15,0.054505005561735265
10,16,0.05865074853136252
10,17,0.06229477436907777
10,18,0.06183836819003356
10,19,0.046296296296296294
10,20,0.04642130571481413
10,21,0.042155009451795844
10,22,0.036306235201262825
10,23,0.03540252182347236
11,05,0.020942408376963352
11,06,0.022249690976514216
11,07,0.035270309337958945
11,08,0.03081785855393125
11,09,0.030173030173030174
11,10,0.03173473744129785
11,11,0.028023429424600895
11,12,0.03368482718219098
11,13,0.028509634290208415
11,14,0.027183647666210092
11,15,0.03023561533016483
11,16,0.024919461815425432
11,17,0.0359320761797542
11,18,0.026852569067906017
11,19,0.025223499361430396
11,20,0.022933234695764748
11,21,0.02608695652173913
11,22,0.013943699026571955
11,23,0.01842870999030068
12,05,0.23036649214659685
12,06,0.30871446229913474
12,07,0.2630818155536282
12,08,0.29039905175819836
12,09,0.27584727584727586
12,10,0.24448555571367583
12,11,0.24382680601814632
12,12,0.26645186487014255
12,13,0.28303185214313803
12,14,0.26488252028237275
12,15,0.28334513095358477
12,16,0.26444949782073146
12,17,0.25874847546674173
12,18,0.27949909630777175
12,19,0.27011494252873564
12,20,0.2714999075272794
12,21,0.26918714555765594
12,22,0.2559852670349908
12,23,0.25994180407371487
13,05,0.2801047120418848
13,06,0.12206427688504326
13,07,0.13240821046545245
13,08,0.11596207032793363
13,09,0.11954811954811954
13,10,0.12864664864095632
13,11,0.10589181118640174
13,12,0.10408123413395821
13,13,0.10194651985843492
13,14,0.10051627857970709
13,15,0.09040347861259986
13,16,0.09560356263028236
13,17,0.09203490008443568
13,18,0.09024012393493416
13,19,0.10025542784163474
13,20,0.10282966524875162
13,21,0.08185255198487712
13,22,0.10865561694290976
13,23,0.07759456838021339
14,05,0.14267015706806283
14,06,0.16903584672435104
14,07,0.20121422376409367
14,08,0.1951797708415646
14,09,0.1846131846131846
14,10,0.17731606660025614
14,11,0.19444125416331687
14,12,0.18746338605741067
14,13,0.18698387731026347
14,14,0.18196185860288694
14,15,0.17089695621397513
14,16,0.19291263975743794
14,17,0.19495262219720425
14,18,0.18538600568035116
14,19,0.2092911877394636
14,20,0.19974107638246716
14,21,0.21512287334593572
14,22,0.2067876874506709
14,23,0.19495635305528614
15,05,0.1243455497382199
15,06,0.09208899876390605
15,07,0.09251228678808904
15,08,0.09028052153299092
15,09,0.07907907907907907
15,10,0.09705421943930553
15,11,0.08395543815321006
15,12,0.0795743018941613
15,13,0.07825403067243414
15,14,0.0875566325993046
15,15,0.09596521387400142
15,16,0.09494030699260944
15,17,0.08922037714607374
15,18,0.09153111283242964
15,19,0.09003831417624521
15,20,0.09321250231181802
15,21,0.10737240075614367
15,22,0.11602209944751381
15,23,0.11590688651794374
2,05,0.01963350785340314
2,06,0.016378244746600743
2,07,0.02515177797051171
2,08,0.026471750296325564
2,09,0.028314028314028315
2,10,0.03529244343247474
2,11,0.033191684851269096
2,12,0.02851005662956454
2,13,0.03666928824223358
2,14,0.034980507849541674
2,15,0.03701082010314491
2,16,0.029467500473754026
2,17,0.023735810113519093
2,18,0.03292021688613478
2,19,0.022509578544061302
2,20,0.02792676160532643
2,21,0.021739130434782608
2,22,0.0326229939489608
2,23,0.04849660523763336
3,05,0.007853403141361256
3,06,0.030902348578491966
3,07,0.02023706273489448
3,08,0.022718293164757014
3,09,0.022022022022022022
3,10,0.020634694748825958
3,11,0.024577925806822096
3,12,0.023042374536223393
3,13,0.019760125835627213
3,14,0.029185544199768203
3,15,0.019314389725958135
3,16,0.02425620617775251
3,17,0.020358382587484753
3,18,0.023495997934417763
3,19,0.018837803320561942
3,20,0.015905307934159424
3,21,0.020982986767485824
3,22,0.01499605367008682
3,23,0.03491755577109602
4,05,0.0
4,06,0.0173053152039555
4,07,0.014165943914426134
4,08,0.01126037139470565
4,09,0.010153010153010154
4,10,0.010673117973530667
4,11,0.013322613988744687
4,12,0.011911735989064635
4,13,0.013271726307510815
4,14,0.009693393741439259
4,15,0.011932450197188796
4,16,0.010422588592003032
4,17,0.010882822028332864
4,18,0.006971340046475601
4,19,0.008141762452107279
4,20,0.013685962641020899
4,21,0.013232514177693762
4,22,0.006314127861089187
4,23,0.008729388942774006
5,05,0.0
5,06,0.0
5,07,0.0017346053772766695
5,08,0.0
5,09,0.000858000858000858
5,10,0.0017076988757649069
5,11,0.0013782014471115194
5,12,0.0005858230814294083
5,13,0.0011797090051120724
5,14,0.0006321778527025603
5,15,0.0020224491859642028
5,16,0.0013265112753458404
5,17,0.003189792663476874
5,18,0.000774593338497289
5,19,0.0
5,20,0.0
5,21,0.0
5,22,0.0
5,23,0.0
6,05,0.0
6,06,0.0
6,07,0.0
6,08,0.0
6,09,0.0
6,10,0.0
6,11,0.0006891007235557597
6,12,0.0005858230814294083
6,13,0.0
6,14,0.0008429038036034137
6,15,0.0
6,16,0.0
6,17,0.0
6,18,0.0
6,19,0.0
6,20,0.0
6,21,0.0
6,22,0.0
6,23,0.0
7,05,0.01832460732984293
7,06,0.016378244746600743
7,07,0.010985834056085574
7,08,0.01619913077834848
7,09,0.018018018018018018
7,10,0.01892699587306105
7,11,0.020558171586080164
7,12,0.01923452450693224
7,13,0.019071962249311836
7,14,0.020335054261932356
7,15,0.02861765598139347
7,16,0.0244457077885162
7,17,0.02645651562060231
7,18,0.017428350116189
7,19,0.015804597701149427
7,20,0.02052894396153135
7,21,0.011531190926275992
7,22,0.01078663509602736
7,23,0.013094083414161009
8,05,0.0
8,06,0.001854140914709518
8,07,0.0026019080659150044
8,08,0.0031608060055314103
8,09,0.004862004862004862
8,10,0.005265404866941796
